created setup with 216 bodies
plot initial setup plus every 0.00999999977648258 time units
plot next snapshot,	 time step=1,	 t=0.00100000004749745,	 dt=0.00100000004749745,	 v_max=0.00289769152402963,	 dx_min=0.0378432801280245
plot next snapshot,	 time step=10,	 t=0.0100000004749745,	 dt=0.00100000004749745,	 v_max=0.029019058897641,	 dx_min=0.0376774093724083
plot next snapshot,	 time step=20,	 t=0.020000000949949,	 dt=0.00100000004749745,	 v_max=0.0583601067557429,	 dx_min=0.0370515703993923
plot next snapshot,	 time step=30,	 t=0.0300000014249235,	 dt=0.00100000004749745,	 v_max=0.088415998274664,	 dx_min=0.0359460418461262
plot next snapshot,	 time step=40,	 t=0.0400000018998981,	 dt=0.00100000004749745,	 v_max=0.119665228129166,	 dx_min=0.0343313067628558
plot next snapshot,	 time step=50,	 t=0.0500000023748726,	 dt=0.00100000004749745,	 v_max=0.155535628266062,	 dx_min=0.0321585646312211
plot next snapshot,	 time step=60,	 t=0.0600000028498471,	 dt=0.00100000004749745,	 v_max=0.200162432891616,	 dx_min=0.0293499091504797
plot next snapshot,	 time step=70,	 t=0.0700000033248216,	 dt=0.00100000004749745,	 v_max=0.257523892106864,	 dx_min=0.0257775926556236
plot next snapshot,	 time step=80,	 t=0.0800000037997961,	 dt=0.00100000004749745,	 v_max=0.339801512898509,	 dx_min=0.0212139388894303
plot next snapshot,	 time step=90,	 t=0.0900000042747706,	 dt=0.00100000004749745,	 v_max=0.485734539592072,	 dx_min=0.0151755758515195
plot next snapshot,	 time step=100,	 t=0.100000004749745,	 dt=0.00100000004749745,	 v_max=0.426405379111791,	 dx_min=0.0189007219495219
plot next snapshot,	 time step=110,	 t=0.11000000522472,	 dt=0.00100000004749745,	 v_max=0.538609907361839,	 dx_min=0.015316962725938
plot next snapshot,	 time step=120,	 t=0.120000005699694,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=0.0276501089439635
plot next snapshot,	 time step=130,	 t=0.130000006174669,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=0.0347478963206033
plot next snapshot,	 time step=140,	 t=0.140000006649643,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=150,	 t=0.150000007124618,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=160,	 t=0.160000007599592,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=170,	 t=0.170000008074567,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=180,	 t=0.180000008549541,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=190,	 t=0.190000009024516,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=200,	 t=0.20000000949949,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=210,	 t=0.210000009974465,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=220,	 t=0.220000010449439,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=230,	 t=0.230000010924414,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=240,	 t=0.240000011399388,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=250,	 t=0.250000011874363,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=260,	 t=0.260000012349337,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=270,	 t=0.270000012824312,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=280,	 t=0.280000013299286,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=290,	 t=0.290000013774261,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=300,	 t=0.300000014249235,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=310,	 t=0.31000001472421,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=320,	 t=0.320000015199184,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=330,	 t=0.330000015674159,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=340,	 t=0.340000016149133,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=350,	 t=0.350000016624108,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=360,	 t=0.360000017099082,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
