created setup with 512 bodies
plot initial setup plus every 0.0500000007450581 time units
plot next snapshot,	 time step=1,	 t=0.00100000004749745,	 dt=0.00100000004749745,	 v_max=0.00559723749406397,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=50,	 t=0.0500000023748726,	 dt=0.00100000004749745,	 v_max=0.280818136566121,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=100,	 t=0.100000004749745,	 dt=0.00100000004749745,	 v_max=0.563625142261565,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=150,	 t=0.150000007124618,	 dt=0.00100000004749745,	 v_max=0.84847953933675,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=200,	 t=0.20000000949949,	 dt=0.00100000004749745,	 v_max=1.13544265435136,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=250,	 t=0.250000011874363,	 dt=0.00100000004749745,	 v_max=1.42457880552001,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=300,	 t=0.300000014249235,	 dt=0.00100000004749745,	 v_max=1.71595550625386,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=350,	 t=0.350000016624108,	 dt=0.00100000004749745,	 v_max=2.00964368662936,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=400,	 t=0.400000018998981,	 dt=0.00100000004749745,	 v_max=2.30571793473635,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=450,	 t=0.450000021373853,	 dt=0.00100000004749745,	 v_max=2.60425676011322,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=500,	 t=0.500000023748726,	 dt=0.00100000004749745,	 v_max=2.90534288177072,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=550,	 t=0.550000026123598,	 dt=0.00100000004749745,	 v_max=3.20906354364556,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=600,	 t=0.600000028498471,	 dt=0.00100000004749745,	 v_max=3.51551086071996,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=650,	 t=0.650000030873343,	 dt=0.00100000004749745,	 v_max=3.82478219950086,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=700,	 t=0.700000033248216,	 dt=0.00100000004749745,	 v_max=4.13698059708782,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=750,	 t=0.750000035623088,	 dt=0.00100000004749745,	 v_max=4.4522152236841,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=800,	 t=0.800000037997961,	 dt=0.00100000004749745,	 v_max=4.77060189413938,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=850,	 t=0.850000040372834,	 dt=0.00100000004749745,	 v_max=5.09226363497873,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=900,	 t=0.900000042747706,	 dt=0.00100000004749745,	 v_max=5.41733131439505,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=950,	 t=0.950000045122579,	 dt=0.00100000004749745,	 v_max=5.74594434389481,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=1000,	 t=1.00000004749745,	 dt=0.00100000004749745,	 v_max=6.07825146173516,	 dx_min=0.0274192504972912
plot next snapshot,	 time step=1050,	 t=1.05000004987232,	 dt=0.00100000004749745,	 v_max=6.41441161001854,	 dx_min=0.0274192504972912
